Barrier ID,Site Name,Structure Type ,Reason for Exclusion,Notes
2339875c-b859-47a0-8df0-89fba2398f2a,Unnamed Brook at Driveway,Stream crossing - CBS,No key upstream habitat,"Stream is completely dry, never fish passage, upstream side wetland, agreed to take it off"
013e7742-2bd4-48e3-b8f2-c3856c6bbb75,Unnamed Brook at Cabot Trail 5,Stream crossing - OBS,Passable,"Open box culvert, stream is not dry during drought conditions, always passable"
964af25f-4619-4ba1-9ac2-7668e9f6225e,Unnamed Brook at Cheticamp Back Road,Stream crossing - CBS,Passable,"Clossed bottom circular concrete culvert. was installed 2024, headwall inlet degrated, always fish passage, culvert assessment done with Thomas Sweeney(NSSA) 2024"
874e346b-76bc-401a-b000-548157b8eba6,Unnamed Brook at Cabot Trail 7,Stream crossing - CBS,Passable,"Closed bottom pipe arch culvert? with baffles for fish passage, not dried up during drought season, always passable"
69d3d251-68c5-42fe-9055-7f4b88a7b995,Unnamed Brook at Cabot Trail 8,Stream crossing - CBS,Passable,"Always passable, stream has flow, closed bottom pipe arch culvert with baffles for fish passage"
be49b42f-7199-44e4-a4a8-6000a75da970,Unnamed Brook at Cabot Trail 10,Stream crossing - CBS,Passable,"Circular concrete culvert with baffles, stream has water flow, always passage"
f34c4469-09ae-41e7-bcdb-6788b5e7307f,Ruisseau du Lac at Cabot Trail,Stream crossing - OBS,Passable,"Upstream left bank armored, open bottom box with abutments, always fish passage"
12f20233-a156-4d66-beb6-f881d5e3c95b,Unnamed Brook at Cabot Trail 11,Stream crossing - OBS,Passable,"Low water flow, always fish passage, open bottom box with abutments"
1b104792-21ed-44e8-89ab-dc2e02e19c3b,Unnamed Brook at Unnamed Track 4,Stream crossing - CBS,Passable,"Newly installed concrete culvert, wetland up and downstream from culvert, always fish passage"
4f0df29d-8dff-4868-b6d7-aacd1f75f8f6,Unnamed Brook at Cabot Trail 2,Stream crossing - OBS,Passable,"Open bottom culvert with abutments , older bridge on downstream side, always fish passage"
cf517b59-1e8f-4a2b-bbe7-fcbe376139fe,MacIntosh Brook at Cabot Trail,Stream crossing - CBS,Passable,Park employee confirmed fish passage during trib-by-trib review; consider reassessing in 5 years (2030)
a6d9c936-48a3-4442-8f84-76fdbc4bfab2,Unnamed Brook at Driveway 4,None,No structure,"Could not find inlet or outlet of culvert, heavily grown in, need to talk to landowner"
9241b2d1-0a2c-4957-b67c-7a721c016493,Unnamed Brook at Bashure Road,None,No structure,"No structure found, watersource is at the end of a steep incline (see picture), no possibility of fish passage"
06fa0cc5-7c41-4c13-97ba-45f07d10f433,Unnamed Brook at Unnamed Road 3,None,No structure,"Stream digitized incorrectly, stream actually runs along road and does not cross the road at this location."
