Barrier ID,Site Name,Structure Type,Assessment Step Completed,Next Step ,Notes
e732b823-2cf0-44a1-8c6c-f9877a7efdc0,Farm Brook at Driveway 2,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"2x  Plastic (corrugated annular), platform to cross downstream from culvert(see picture) approx. 30 meter, Inlet has drop smaller than 15cm(see picture), Seasonally Fish Passage, low flow during site visit"
152e240f-31c7-4c4e-bd00-8ab84b083db5,Farm Brook at Driveway 3,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Metal (corrugated annular),  culvert is in a wetland could not determine the inlet, culvert appeared to have collapsed, never fish passage, Landowner upstream stated that this culvert is impacting his property upstream as well"
c1668d56-4d9c-4d43-b291-850ef9cbcde9,Farm Brook at Unnamed Track 3,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Round PVC culvert, located in wetland, low flow due to drought, even after rain this morning, seasonally fish passage"
3480e530-2f95-4f67-b2e5-0783181f9b53,Fiset Brook trib at Cheticamp Back Road 2,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"low water conditions, circular plastic culvert inside of metal culvert. incline in the middle of culvert, seasonal passage, metal mesh infront inlet (see picture)"
b1f4b901-4586-4e79-a314-dc2d0f581530,Unnamed Ponds at Cabot Trail,Stream crossing - OBS,Informal assessment,Habitat confirmation (data deficient structures only),"Open bottom wooden box culvert, currently no water flow, both ends of the pond are blocked from the ocean, therefore no fish passage from ocean, passage between both ponds seasonal. Need to follow up to confirm whether the upstream ponds support salmon spawning/rearing and where they ultimately drain to the ocean"
f0adc328-dacc-45f6-9b89-c461f660dfca,Rigwash Brook at Unnamed Road,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"3 currogated circular metal culverts, culvert 1 filled in, culvert 2 has a drop at the outlet side→no passage, culvert 3 might be seasonally passage (see pictures), stream is completely dry"
738af6f1-26c4-404b-9b4a-acbbe10c5303,Unnamed Brook at Brook Lane Road,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"closed bottom metal culvert (corrugated spiral) , caved in, needs full replacement, no fish passage"
67d6a3f3-d1fc-49a5-908c-abca0ca214b3,Unnamed Brook at Cabot Trail 12,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Closed-bottom Box Culvert, downstream side heavily shrubbed/forested, along with being slightly wetlandish, seasonally fish passage"
3e030c3f-1150-478e-b868-636313992203,Unnamed Brook at Cabot Trail 3,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"closed bottom box culvert, stream dry now, fish can possibly go up that incline from the shore(see picture), seasonal passage, culvert located on the cabot trail, also has an overflow culvert (see picture)"
761883fe-73d0-4ca1-8321-ee25b7849aa9,Unnamed Brook 1 at Cabot Trail 4,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Close bottom concrete box culvert, no flow due to drought, seasonal fish passage"
b954a8fa-2cd8-40e8-a204-3140ecc2631a,Unnamed Brook at Cabot Trail 9,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"circular concrete culvert with baffels, stream dried up, seasonal passage"
d8858d67-2f5f-440d-80a1-1bf7864347c1,US Anse  Petit at Chemin Hache,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"may be influenced by the tide, closed bottom concrete culvert"
e729a5c4-6902-4382-9839-6df73b6c2aed,Unnamed Brook at Cheticamp Back Road 3,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Round corrugated steel culvert, upstream wetland area, Fish Passage Seasonally"
46569502-22d4-4290-b4c8-0b4eb7278681,Unnamed Brook at Cheticamp Back Road 4,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Seasonal Fish Passage, Low Flow Conditions, closed bottom round Concrete Culvert, wetland area up and downstream, low flow conditions"
05e8a2ea-287a-42fe-8c97-a2b941ea5190,Unnamed Brook at Cheticamp Island Road,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Corrugated metal spiral culvert, could not determine the outlet but there is flow through it, looked through inlet and could see the outlet, wetland area upstream and downstream from culvert, fish passage is seasonally"
87fcd075-a2c0-46c8-a7d4-bd654f1a928d,US Anse  Petit Homme at Cabot Trail,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"culvert looks passable, but stream is redirected multiple ways and ineffective, round culvert underneath landowners lawn (see picture), open bottom culvert, never fish passage"
db9a7b4c-b8ff-4a3a-b83b-7f32a331a8ee,US Anse  Petit Homme at Driveway 2,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"dried up stream, circular PVC culvert, seasonal fish passage"
caa9000a-1a62-45b0-a090-e486aca27d44,US Anse  Petit Homme at Redman Road,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"undersized,  damage on outlet side of Culvert, metal corrugated culvert, seasonal fish passage"
4ff36c22-0fd9-453e-89b5-cf5b5d4968a0,US Cheticamp Beach at Cheticamp Island Road 2,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"low flow, seasonally fish passage"
8b97c9bb-d9cb-4430-82b2-57c82530e500,US Cheticamp Beach at Unknown Trail,Stream crossing - OBS,Informal assessment,Habitat confirmation (data deficient structures only),"No real road, trail system to bridge, in a decrepit state and is blocking most of the stream, seasonally fish passage"
2da131b1-4a52-419d-bce4-5380622c3dc3,US Petit Etang Pond at LeBlanc Road,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"Five separate corrugated steel spiral culverts, two of which not showing on the inlet side, and the other two are destroyed, largest is beginning to rot, seasonal fish passage"
39aa7f0e-8eb9-4883-9d39-41a673aa882e,US Redman Basin Brook 1 at Cheticamp Back Road 5,Stream crossing - CBS,Informal assessment,Habitat confirmation (data deficient structures only),"concrete culvert, was joined, split off, two seperate inclines, closed bottom round concrete culvert, never fish passage"
9241b2d1-0a2c-4957-b67c-7a721c016493,Unnamed Brook at Bashure Road,None,Informal assessment,Engage with partners,"no structure found, water source is at the end of a steep incline, no possibility of fish passage; will need to engage with partners to determine whether next steps are a habitat assessment upstream or confirm inaccessible upstream before updating model"
